home.hero.eyebrow	أشجار إيطالية فاخرة · توريد في جميع أنحاء الإمارات
home.hero.title	زيتون إيطالي معمّر.
home.hero.title.em	مغروس في الإمارات.
home.hero.lede	أشجار زيتون مميّزة ونخيل ونباتات معمارية — تُنتقى من المشتل في {regions}، وتُستورد وتُؤقلم، ثم تُسلَّم إلى الموقع في جميع أنحاء الإمارات.
home.hero.cta	تصفّح أشجارنا
home.hero.cta.two	اطلب عرض سعر
home.badge.top	أصيلة
home.badge.mid	إيطالية
home.badge.low	أشجار
home.feature.1	مستوردة من إيطاليا
home.feature.2	تشكيلة واسعة من الأشجار الفاخرة
home.feature.3	توصيل في جميع أنحاء الإمارات
home.feature.4	دعم فني ومتابعة بعد الغرس
home.featured.eyebrow	مجموعة مختارة
home.featured.note	جمالٌ لا يشيخ، وجذورٌ في التاريخ.
home.route.eyebrow	من أين تأتي
home.route.title	أربع مناطق إيطالية.
home.route.title.two	سبع إمارات.
home.route.note	نشتري من المزارع مباشرةً، لا من وسيط. وكل شحنة تُفحص، وتُوثَّق للاستيراد، وتُؤقلم هنا قبل أن تصل إلى أي موقع.
home.band.eyebrow	لماذا نُسعّر بعرض سعر
home.band.quote	شجرة زيتون بارتفاع ثلاثة أمتار ليست سلعة تُشترى من سلّة تسوّق.
home.band.body	شجرتان بالارتفاع الاسمي نفسه تختلفان تمامًا في محيط الجذع والتاج والطابع — وبالتالي في السعر. أضف إلى ذلك الشحن والموسم والكمية وإمكانية الوصول إلى الموقع، وسيتبيّن أن أي سعر ثابت على الإنترنت هو وهم.
home.band.cta	ابدأ استفسارك
home.who.title	مصمَّمة للمشاريع.
home.coverage.title	الإمارات السبع جميعها.
faq.title	أسئلة تُطرح علينا
faq.intro	ما يسأل عنه المشترون قبل أن يرسلوا استفسارهم. وإن لم يكن سؤالك هنا، اطرحه في نموذج الاستفسار وستصلك الإجابة مباشرةً.
testimonials.title	ماذا يقول عملاؤنا
journal.title	المدوّنة
journal.intro	ملاحظات في اختيار أشجار البحر المتوسط واستيرادها وترسيخها في الخليج — مكتوبة لمن سيعيش مع النتيجة.
