home.hero.eyebrow	Alberi italiani di pregio · Fornitura in tutti gli Emirati
home.hero.title	Olivi secolari italiani.
home.hero.title.em	Piantati negli Emirati.
home.hero.lede	Olivi esemplari, palme e piante architettoniche — selezionati in vivaio in {regions}, importati, acclimatati e consegnati in cantiere in tutti gli Emirati.
home.hero.cta	Scopri i nostri alberi
home.hero.cta.two	Richiedi un preventivo
home.badge.top	Autentici
home.badge.mid	Italiani
home.badge.low	Alberi
home.feature.1	Importati dall'Italia
home.feature.2	Ampia scelta di alberi di pregio
home.feature.3	Consegna in tutti gli Emirati
home.feature.4	Assistenza tecnica e cura nel tempo
home.featured.eyebrow	Collezione in evidenza
home.featured.note	Una bellezza senza tempo, radicata nella storia.
home.route.eyebrow	Da dove arrivano
home.route.title	Quattro regioni italiane.
home.route.title.two	Sette emirati.
home.route.note	Compriamo dal produttore, non da un intermediario. Ogni partita viene ispezionata, documentata per l'importazione e acclimatata qui prima di arrivare in cantiere.
home.band.eyebrow	Perché lavoriamo a preventivo
home.band.quote	Un olivo di tre metri non si mette in un carrello.
home.band.body	Due alberi della stessa altezza nominale sono completamente diversi per circonferenza del tronco, chioma e carattere — e quindi per prezzo. Ci si aggiungano trasporto, stagione, quantità e accessibilità del cantiere: un prezzo fisso online sarebbe una finzione.
home.band.cta	Invia una richiesta
home.who.title	Pensati per i progetti.
home.coverage.title	Tutti e sette gli Emirati.
faq.title	Le domande che ci fanno
faq.intro	Quello che i clienti chiedono prima di scriverci. Se la tua domanda non è qui, falla nel modulo di richiesta e riceverai una risposta diretta.
testimonials.title	Cosa dicono i clienti
journal.title	Giornale
journal.intro	Appunti sulla scelta, l'importazione e l'attecchimento degli alberi mediterranei nel Golfo — scritti per chi con il risultato dovrà conviverci.
